,name,url,Price,год выпуска,Пробег,Кузов,Цвет,Двигатель,Налог,Коробка,Привод,Руль,Состояние,Владельцы,ПТС,Таможня,Гарантия,VIN,Госномер,Владение,Обмен,Кузов №
2357,Datsun on-DO I,https://auto.ru/cars/used/sale/datsun/on_do/1088359220-ae41ac6c/,450 000 ₽,2017,42 100 км,седан,серый,1.6 л / 87 л.с. / Бензин,1 392 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,Z8N**************,******|163,,,
2358,LADA (ВАЗ) Vesta I SW Cross,https://auto.ru/cars/used/sale/vaz/vesta/1102183164-58271b8c/,800 000 ₽,2019,36 000 км,универсал 5 дв.,серый,1.6 л / 106 л.с. / Бензин,2 544 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,XTA**************,******|102,1 год и 7 месяцев,,
2359,ГАЗ 24 «Волга»  II (2410) 2410,https://auto.ru/cars/used/sale/gaz/24/1086388520-cbdd9e3a/,350 000 ₽,1989,51 000 км,седан,белый,2.5 л / 100 л.с. / Бензин,1 600 ₽ / год,механическая,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,,******|763,3 года и 2 месяца,Рассмотрю варианты,1***********
2360,LADA (ВАЗ) Kalina I,https://auto.ru/cars/used/sale/vaz/kalina/1101681706-5be05c57/,90 000 ₽,2005,246 000 км,седан,бежевый,1.6 л / 81 л.с. / Бензин,1 296 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,XTA**************,******|13,,,
2361,ЗАЗ Chance,https://auto.ru/cars/used/sale/zaz/chance/1101577544-338cbbe2/,107 000 ₽,2011,98 000 км,хэтчбек 5 дв.,серебристый,1.5 л / 85 л.с. / Бензин,1 360 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,Y6D**************,******|163,,,
2362,Opel Frontera A,https://auto.ru/cars/used/sale/opel/frontera/1102022119-441475f5/,240 000 ₽,1993,200 000 км,внедорожник 5 дв.,зелёный,2.3 л / 100 л.с. / Дизель,1 600 ₽ / год,механическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,SED**************,******|163,,,
2363,Kia Magentis I Рестайлинг,https://auto.ru/cars/used/sale/kia/magentis/1102236318-bce871d5/,170 000 ₽,2005,226 000 км,седан,бежевый,2.0 л / 136 л.с. / Бензин,4 488 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,X4X**************,******|56,,,
2364,Chevrolet Rezzo,https://auto.ru/cars/used/sale/chevrolet/rezzo/1102225870-af953924/,250 000 ₽,2005,229 000 км,компактвэн,бежевый,1.6 л / 90 л.с. / Бензин,1 440 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,KL1**************,******|163,,,
2365,Chevrolet Cruze I,https://auto.ru/cars/used/sale/chevrolet/cruze/1102216519-3af4684d/,415 000 ₽,2011,180 000 км,седан,серебристый,1.8 л / 141 л.с. / Бензин,4 653 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,XUF**************,******|163,,,
2366,Toyota Land Cruiser Prado 150 Series Рестайлинг 2,https://auto.ru/cars/used/sale/toyota/land_cruiser_prado/1101744066-422738d4/,3 505 000 ₽,2017,34 195 км,внедорожник 5 дв.,белый,2.8 л / 177 л.с. / Дизель,7 611 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,JTE**************,******|163,,,
2367,ГАЗ 31105 «Волга»,https://auto.ru/cars/used/sale/gaz/31105/1101478740-a4ae00b5/,130 000 ₽,2007,100 000 км,седан,бежевый,2.3 л / 131 л.с. / Бензин,4 323 ₽ / год,механическая,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,X96**************,******|163,,,
2368,Kia Ceed I Рестайлинг,https://auto.ru/cars/used/sale/kia/ceed/1102168982-318114ca/,600 000 ₽,2011,135 500 км,универсал 5 дв.,синий,1.6 л / 122 л.с. / Бензин,4 026 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,XWE**************,******|763,,,
2369,Subaru Forester IV,https://auto.ru/cars/used/sale/subaru/forester/1101106980-8e8caedc/,1 052 500 ₽,2014,126 000 км,внедорожник 5 дв.,серебристый,2.0 л / 150 л.с. / Бензин,4 950 ₽ / год,вариатор,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,JF1**************,,,Рассмотрю варианты,
2370,Mazda Tribute I,https://auto.ru/cars/used/sale/mazda/tribute/1097484998-432caea4/,270 000 ₽,2002,170 000 км,внедорожник 5 дв.,серый,3.0 л / 203 л.с. / Бензин,15 225 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,4F2**************,******|89,,,
2371,LADA (ВАЗ) Priora I,https://auto.ru/cars/used/sale/vaz/2170/1101720139-28a10b8f/,289 000 ₽,2011,116 000 км,седан,чёрный,1.6 л / 98 л.с. / Бензин,1 568 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,XTA**************,******|763,,,
2372,LADA (ВАЗ) Priora I Рестайлинг,https://auto.ru/cars/used/sale/vaz/2170/1094527584-40ade2a2/,370 000 ₽,2015,61 000 км,седан,белый,1.6 л / 106 л.с. / Бензин,2 544 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,XTA**************,******|763,,,
2373,Toyota RAV4 III (XA30),https://auto.ru/cars/used/sale/toyota/rav_4/1101998883-24baef73/,810 000 ₽,2008,155 000 км,внедорожник 5 дв.,белый,2.4 л / 170 л.с. / Бензин,7 310 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,JTM**************,******|163,,,
2374,Audi Q5  I (8R) 8tiptronic,https://auto.ru/cars/used/sale/audi/q5/1102184065-c4cc9bb5/,1 200 000 ₽,2012,100 000 км,внедорожник 5 дв.,белый,2.0 л / 211 л.с. / Бензин,15 825 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,WAU**************,******|163,,,
2375,LADA (ВАЗ) Priora I,https://auto.ru/cars/used/sale/vaz/2170/1101991160-11bd79d1/,205 000 ₽,2009,93 177 км,универсал 5 дв.,белый,"1.6 л / 98 л.с. / Бензин, газобаллонное оборудование",1 568 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,XTA**************,******|163,,,
2376,LADA (ВАЗ) Priora I,https://auto.ru/cars/used/sale/vaz/2170/1101609722-fcb58128/,200 000 ₽,2009,87 000 км,хэтчбек 5 дв.,серебристый,1.6 л / 98 л.с. / Бензин,1 568 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,XTA**************,******|73,,,
2377,Opel Astra J,https://auto.ru/cars/used/sale/opel/astra/1101853319-983237f2/,440 000 ₽,2010,143 000 км,хэтчбек 5 дв.,чёрный,1.4 л / 140 л.с. / Бензин,4 620 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,XUF**************,******|163,,,
2378,Jaguar F-Pace I,https://auto.ru/cars/used/sale/jaguar/f_pace/1100987744-2fe6615f/,3 299 000 ₽,2019,21 700 км,внедорожник 5 дв.,синий,2.0 л / 180 л.с. / Дизель,7 740 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,До июня 2022,SAD**************,******|763,,,
2379,Honda CR-V IV,https://auto.ru/cars/used/sale/honda/cr_v/1102182740-a12ec842/,1 500 000 ₽,2013,86 000 км,внедорожник 5 дв.,серебристый,2.4 л / 190 л.с. / Бензин,8 170 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,1HG**************,******|163,7 лет,,
2380,LADA (ВАЗ) 2131 (4x4) I,https://auto.ru/cars/used/sale/vaz/2131_4x4/1101607328-56204b73/,85 000 ₽,2001,110 000 км,внедорожник 5 дв.,чёрный,1.7 л / 79 л.с. / Бензин,1 264 ₽ / год,механическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,XTA**************,******|163,,,
2381,LADA (ВАЗ) 2114,https://auto.ru/cars/used/sale/vaz/2114/1101836801-2ff7dc36/,55 000 ₽,2005,212 000 км,хэтчбек 5 дв.,серебристый,1.5 л / 77 л.с. / Бензин,1 232 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,XTA**************,******|163,,Рассмотрю варианты,
2382,Nissan X-Trail II,https://auto.ru/cars/used/sale/nissan/x_trail/1100396800-55ee2ab1/,750 000 ₽,2010,170 000 км,внедорожник 5 дв.,чёрный,2.0 л / 150 л.с. / Дизель,4 950 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Дубликат,Растаможен,,Z8N**************,******|63,,,
2383,Mitsubishi Outlander II,https://auto.ru/cars/used/sale/mitsubishi/outlander/1090428350-c8bb3788/,720 000 ₽,2007,180 000 км,внедорожник 5 дв.,чёрный,3.0 л / 220 л.с. / Бензин,16 500 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,JMB**************,******|763,,,
2384,Chevrolet Lacetti,https://auto.ru/cars/used/sale/chevrolet/lacetti/1101988830-6285f65a/,125 000 ₽,2008,270 000 км,хэтчбек 5 дв.,голубой,1.4 л / 94 л.с. / Бензин,1 504 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,XUU**************,******|116,,,
2385,Mercedes-Benz GL-Класс  I (X164) Рестайлинг 350,https://auto.ru/cars/used/sale/mercedes/gl_klasse/1101851838-16db2d06/,1 350 000 ₽,2010,150 000 км,внедорожник 5 дв.,чёрный,3.0 л / 224 л.с. / Дизель,16 800 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,WDC**************,******|763,,,
2386,LADA (ВАЗ) Vesta I,https://auto.ru/cars/used/sale/vaz/vesta/1098625528-037edb25/,507 000 ₽,2016,54 000 км,седан,белый,1.6 л / 106 л.с. / Бензин,2 544 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,XTA**************,******|763,,,
2387,Nissan Skyline IX (R33),https://auto.ru/cars/used/sale/nissan/skyline/1101502723-9b35aca0/,270 000 ₽,1994,250 000 км,седан,зелёный,2.5 л / 190 л.с. / Бензин,8 170 ₽ / год,механическая,задний,Правый,Не требует ремонта,3 или более,Оригинал,Растаможен,,,******|163,,,HR33-***********
2388,LADA (ВАЗ) Vesta I,https://auto.ru/cars/used/sale/vaz/vesta/1101975569-c4ed26da/,600 000 ₽,2018,52 000 км,седан,белый,1.6 л / 106 л.с. / Бензин,2 544 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,До апреля 2021,XTA**************,******|163,,,
2389,LADA (ВАЗ) Kalina I,https://auto.ru/cars/used/sale/vaz/kalina/1102237136-29700606/,145 000 ₽,2010,130 226 км,хэтчбек 5 дв.,чёрный,1.6 л / 81 л.с. / Бензин,1 296 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,XTA**************,******|116,1 год и 5 месяцев,,
2390,LADA (ВАЗ) 2121 (4x4) I Рестайлинг,https://auto.ru/cars/used/sale/vaz/2121/1095688752-98d5c8c8/,240 000 ₽,2010,152 000 км,внедорожник 3 дв.,белый,1.7 л / 83 л.с. / Бензин,1 328 ₽ / год,механическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,XTA**************,******|163,,,
2391,LADA (ВАЗ) 21099,https://auto.ru/cars/used/sale/vaz/21099/1095296494-db4dd957/,50 000 ₽,2001,180 000 км,седан,синий,1.5 л / 78 л.с. / Бензин,1 248 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,XTA**************,******|63,,,
2392,Volkswagen Touareg I Рестайлинг,https://auto.ru/cars/used/sale/volkswagen/touareg/1101364163-742c8eec/,620 000 ₽,2006,202 000 км,внедорожник 5 дв.,серебристый,2.5 л / 174 л.с. / Дизель,7 482 ₽ / год,механическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,VWG**************,******|163,,,
2393,Subaru Impreza II Рестайлинг 2,https://auto.ru/cars/used/sale/subaru/impreza/1102244102-49d2f2c8/,350 000 ₽,2005,160 000 км,универсал 5 дв.,серебристый,1.5 л / 100 л.с. / Бензин,1 600 ₽ / год,автоматическая,полный,Правый,Не требует ремонта,3 или более,Оригинал,Растаможен,,,******|186,4 месяца,,GG3***********
2394,Chevrolet Niva I Рестайлинг,https://auto.ru/cars/used/sale/chevrolet/niva/1102117510-319e1462/,609 000 ₽,2018,45 000 км,внедорожник 5 дв.,серый,1.7 л / 80 л.с. / Бензин,1 280 ₽ / год,механическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,X9L**************,******|763,2 года и 5 месяцев,,
2395,LADA (ВАЗ) Priora I,https://auto.ru/cars/used/sale/vaz/2170/1097882826-23d80d52/,145 000 ₽,2008,238 000 км,седан,серебристый,1.6 л / 98 л.с. / Бензин,1 568 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,XTA**************,******|163,,,
2396,BMW X5  I (E53) Рестайлинг 3.0i,https://auto.ru/cars/used/sale/bmw/x5/1102203828-0776ff20/,745 000 ₽,2005,234 000 км,внедорожник 5 дв.,чёрный,3.0 л / 231 л.с. / Бензин,17 325 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,5UX**************,******|46,,,
2397,Mitsubishi Pajero II,https://auto.ru/cars/used/sale/mitsubishi/pajero/1101796839-686ec211/,280 000 ₽,1996,375 000 км,внедорожник 5 дв.,серый,2.8 л / 125 л.с. / Дизель,4 125 ₽ / год,автоматическая,полный,Правый,Не требует ремонта,3 или более,Дубликат,Растаможен,,,******|73,,,V464***********
2398,LADA (ВАЗ) Granta I,https://auto.ru/cars/used/sale/vaz/granta/1085997926-99a69c41/,470 000 ₽,2018,19 000 км,седан,белый,1.6 л / 87 л.с. / Бензин,1 392 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,XTA**************,******|763,,,
2399,Daewoo Gentra I,https://auto.ru/cars/used/sale/daewoo/gentra/1101078561-fbcb73d9/,234 000 ₽,2009,100 000 км,хэтчбек 5 дв.,серебристый,1.2 л / 85 л.с. / Бензин,680 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,KLA**************,,11 лет и 7 месяцев,,
2400,LADA (ВАЗ) 2115,https://auto.ru/cars/used/sale/vaz/2115/1101753685-f36f93c7/,110 000 ₽,2011,168 500 км,седан,белый,1.6 л / 81 л.с. / Бензин,1 296 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,XTA**************,******|163,9 лет и 1 месяц,,
2401,Skoda Octavia III (A7),https://auto.ru/cars/used/sale/skoda/octavia/1101738332-2fd2b081/,980 000 ₽,2014,83 000 км,лифтбек,белый,1.8 л / 180 л.с. / Бензин,7 740 ₽ / год,роботизированная,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,XW8**************,******|763,6 лет и 1 месяц,,
2402,Mitsubishi Pajero Sport II Рестайлинг,https://auto.ru/cars/used/sale/mitsubishi/pajero_sport/1101823492-e12fe3d5/,1 450 000 ₽,2014,88 300 км,внедорожник 5 дв.,белый,3.0 л / 222 л.с. / Бензин,16 650 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,Z8T**************,******|763,,,
2403,Mazda Demio II (DY),https://auto.ru/cars/used/sale/mazda/demio/1095983004-48685cac/,215 000 ₽,2003,275 000 км,хэтчбек 5 дв.,белый,1.4 л / 91 л.с. / Бензин,1 456 ₽ / год,автоматическая,передний,Правый,Не требует ремонта,3 или более,Оригинал,Растаможен,,,******|30,,,
2404,Hyundai Solaris I Рестайлинг,https://auto.ru/cars/used/sale/hyundai/solaris/1102035115-c8f2e774/,599 999 ₽,2016,90 000 км,седан,белый,1.6 л / 123 л.с. / Бензин,4 059 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Дубликат,Растаможен,,Z94**************,,3 года и 11 месяцев,,
2405,УАЗ Hunter  315195,https://auto.ru/cars/used/sale/uaz/hunter/1095751732-db18a75e/,410 000 ₽,2014,37 000 км,внедорожник 5 дв.,зелёный,2.7 л / 128 л.с. / Бензин,4 224 ₽ / год,механическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,XTT**************,******|163,,,
2406,LADA (ВАЗ) Vesta I,https://auto.ru/cars/used/sale/vaz/vesta/1082937316-55efc/,565 000 ₽,2016,65 000 км,седан,чёрный,1.6 л / 106 л.с. / Бензин,2 544 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,Z8N**************,******|163,,,
2407,Daewoo Nexia I,https://auto.ru/cars/used/sale/daewoo/nexia/1097612142-e717f7ad/,78 000 ₽,2007,146 000 км,седан,жёлтый,1.5 л / 75 л.с. / Бензин,1 200 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,XWB**************,******|30,,,
2408,LADA (ВАЗ) Kalina II,https://auto.ru/cars/used/sale/vaz/kalina/1097155916-12bbda54/,318 000 ₽,2015,84 000 км,универсал 5 дв.,серый,1.6 л / 106 л.с. / Бензин,2 544 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,XTA**************,******|163,,,
2409,Mitsubishi Pajero Mini II,https://auto.ru/cars/used/sale/mitsubishi/pajero_mini/1099389996-615a4e8e/,310 000 ₽,2007,189 000 км,внедорожник 3 дв.,серебристый,0.7 л / 64 л.с. / Бензин,1 024 ₽ / год,автоматическая,полный,Правый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,,******|125,,,H58A0***********
2410,LADA (ВАЗ) Granta I,https://auto.ru/cars/used/sale/vaz/granta/1084880094-9d27cb11/,320 000 ₽,2013,75 000 км,седан,серебристый,1.6 л / 98 л.с. / Бензин,1 568 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,XTA**************,******|163,,,
2411,Audi A4 II (B6),https://auto.ru/cars/used/sale/audi/a4/1101963047-fad2c5a5/,393 000 ₽,2002,213 000 км,седан,серый,"2.0 л / 130 л.с. / Бензин, газобаллонное оборудование",4 290 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,WAU**************,,,Рассмотрю варианты,
2412,Opel Mokka I,https://auto.ru/cars/used/sale/opel/mokka/1102182922-fa470585/,850 000 ₽,2014,70 000 км,внедорожник 5 дв.,белый,"1.8 л / 140 л.с. / Бензин, газобаллонное оборудование",4 620 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,XUU**************,******|763,,,
2413,LADA (ВАЗ) Granta I,https://auto.ru/cars/used/sale/vaz/granta/1084817598-c0f1f7fd/,310 000 ₽,2014,95 000 км,седан,чёрный,1.6 л / 87 л.с. / Бензин,1 392 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,XTA**************,,,,
2414,LADA (ВАЗ) Vesta I,https://auto.ru/cars/used/sale/vaz/vesta/1084915982-a2a3ab60/,595 000 ₽,2017,19 500 км,седан,белый,1.8 л / 122 л.с. / Бензин,4 026 ₽ / год,роботизированная,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,XTA**************,,,,
2415,LADA (ВАЗ) Priora I,https://auto.ru/cars/used/sale/vaz/2170/1100933706-ca69a289/,185 000 ₽,2009,180 000 км,седан,чёрный,1.6 л / 98 л.с. / Бензин,1 568 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,XTA**************,******|163,6 лет и 9 месяцев,,
2416,Daewoo Gentra I,https://auto.ru/cars/used/sale/daewoo/gentra/1101078561-fbcb73d9/,234 000 ₽,2009,100 000 км,хэтчбек 5 дв.,серебристый,1.2 л / 85 л.с. / Бензин,680 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,KLA**************,,11 лет и 7 месяцев,,
2417,LADA (ВАЗ) 2109  21093i,https://auto.ru/cars/used/sale/vaz/2109/1102143258-77944b24/,65 000 ₽,2006,98 000 км,хэтчбек 5 дв.,серебристый,1.5 л / 78 л.с. / Бензин,1 248 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,X7D**************,******|163,,,
2418,Mitsubishi Pajero Sport II Рестайлинг,https://auto.ru/cars/used/sale/mitsubishi/pajero_sport/1101823492-e12fe3d5/,1 450 000 ₽,2014,88 300 км,внедорожник 5 дв.,белый,3.0 л / 222 л.с. / Бензин,16 650 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,Z8T**************,******|763,,,
2419,Mazda Demio II (DY),https://auto.ru/cars/used/sale/mazda/demio/1095983004-48685cac/,215 000 ₽,2003,275 000 км,хэтчбек 5 дв.,белый,1.4 л / 91 л.с. / Бензин,1 456 ₽ / год,автоматическая,передний,Правый,Не требует ремонта,3 или более,Оригинал,Растаможен,,,******|30,,,
2420,Hyundai Solaris I Рестайлинг,https://auto.ru/cars/used/sale/hyundai/solaris/1102035115-c8f2e774/,599 999 ₽,2016,90 000 км,седан,белый,1.6 л / 123 л.с. / Бензин,4 059 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Дубликат,Растаможен,,Z94**************,,3 года и 11 месяцев,,
2421,УАЗ Hunter  315195,https://auto.ru/cars/used/sale/uaz/hunter/1095751732-db18a75e/,410 000 ₽,2014,37 000 км,внедорожник 5 дв.,зелёный,2.7 л / 128 л.с. / Бензин,4 224 ₽ / год,механическая,полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,XTT**************,******|163,,,
2422,BMW X3  I (E83) Рестайлинг 20d,https://auto.ru/cars/used/sale/bmw/x3/1101695610-6cb0da88/,720 000 ₽,2008,210 000 км,внедорожник 5 дв.,чёрный,2.0 л / 177 л.с. / Дизель,7 611 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,WBA**************,******|163,2 года и 7 месяцев,,
2423,Daewoo Nexia I,https://auto.ru/cars/used/sale/daewoo/nexia/1097612142-e717f7ad/,78 000 ₽,2007,146 000 км,седан,жёлтый,1.5 л / 75 л.с. / Бензин,1 200 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,XWB**************,******|30,,,
2424,LADA (ВАЗ) Kalina II,https://auto.ru/cars/used/sale/vaz/kalina/1097155916-12bbda54/,318 000 ₽,2015,84 000 км,универсал 5 дв.,серый,1.6 л / 106 л.с. / Бензин,2 544 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,XTA**************,******|163,,,
2425,Subaru XV I,https://auto.ru/cars/used/sale/subaru/xv/1101960927-e9ce2a15/,643 000 ₽,2012,217 838 км,внедорожник 5 дв.,красный,1.6 л / 114 л.с. / Бензин,2 736 ₽ / год,механическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,JF1**************,******|197,8 лет и 3 месяца,,
2426,Mitsubishi Pajero Mini II,https://auto.ru/cars/used/sale/mitsubishi/pajero_mini/1099389996-615a4e8e/,310 000 ₽,2007,189 000 км,внедорожник 3 дв.,серебристый,0.7 л / 64 л.с. / Бензин,1 024 ₽ / год,автоматическая,полный,Правый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,,******|125,,,H58A0***********
2427,LADA (ВАЗ) Granta I,https://auto.ru/cars/used/sale/vaz/granta/1084880094-9d27cb11/,320 000 ₽,2013,75 000 км,седан,серебристый,1.6 л / 98 л.с. / Бензин,1 568 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,XTA**************,******|163,,,
2428,Audi A4 II (B6),https://auto.ru/cars/used/sale/audi/a4/1101963047-fad2c5a5/,393 000 ₽,2002,213 000 км,седан,серый,"2.0 л / 130 л.с. / Бензин, газобаллонное оборудование",4 290 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,WAU**************,,,Рассмотрю варианты,
2429,Opel Mokka I,https://auto.ru/cars/used/sale/opel/mokka/1102182922-fa470585/,850 000 ₽,2014,70 000 км,внедорожник 5 дв.,белый,"1.8 л / 140 л.с. / Бензин, газобаллонное оборудование",4 620 ₽ / год,автоматическая,полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,XUU**************,******|763,,,
2430,Hyundai Sonata  IV (EF) Рестайлинг ТагАЗ,https://auto.ru/cars/used/sale/hyundai/sonata/1096230672-da65467b/,280 000 ₽,2008,265 000 км,седан,чёрный,"2.0 л / 137 л.с. / Бензин, газобаллонное оборудование",4 521 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,X7M**************,******|76,,,
2431,Mazda 3 II (BL) Рестайлинг,https://auto.ru/cars/used/sale/mazda/3/1102207973-8fa897d5/,635 000 ₽,2013,107 500 км,седан,чёрный,1.6 л / 105 л.с. / Бензин,2 520 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,JMZ**************,******|763,,,
2432,LADA (ВАЗ) 2108,https://auto.ru/cars/used/sale/vaz/2108/1100433138-99a9a15d/,85 000 ₽,2005,130 000 км,хэтчбек 3 дв.,фиолетовый,1.5 л / 78 л.с. / Бензин,1 248 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,XTA**************,******|163,,Рассмотрю варианты,
2433,"Toyota Previa I (XR10, XR20)",https://auto.ru/cars/used/sale/toyota/previa/1101809103-c7985922/,330 000 ₽,1990,252 000 км,минивэн,пурпурный,2.4 л / 132 л.с. / Бензин,4 356 ₽ / год,автоматическая,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,JT1**************,******|763,,Рассмотрю варианты,
2434,Lifan Solano II,https://auto.ru/cars/used/sale/lifan/solano/1102154977-36bc43f6/,560 000 ₽,2018,16 000 км,седан,чёрный,1.5 л / 100 л.с. / Бензин,1 600 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,До июля 2024,X9W**************,******|763,1 год и 6 месяцев,,
2435,Mazda 6 II (GH) Рестайлинг,https://auto.ru/cars/used/sale/mazda/6/1102101749-80c57bc6/,640 000 ₽,2011,118 000 км,седан,чёрный,2.0 л / 147 л.с. / Бензин,4 851 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,JMZ**************,******|716,,,
2436,Great Wall Hover H5,https://auto.ru/cars/used/sale/great_wall/hoverh5/1089782982-79965f10/,490 000 ₽,2012,94 000 км,внедорожник 5 дв.,серебристый,"2.4 л / 136 л.с. / Бензин, газобаллонное оборудование",4 488 ₽ / год,механическая,полный,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,Z8P**************,******|763,1 год и 6 месяцев,Рассмотрю варианты,
